Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)	Density_edited(Kg/m3)
362	336	-22.4867363	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-22.31998444	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-22.15323067	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.9864769	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.81972504	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.65297318	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.48622131	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.31946754	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-21.15271568	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.98596191	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.81921196	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.65245819	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.48570633	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.31895256	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-20.1522007	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.98544884	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.81869507	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.65194321	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.48519135	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.31843948	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-19.15168381	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.98493195	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.81818008	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.65142822	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.48467636	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.31792259	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-18.15116882	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.98441887	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.8176651	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.65091324	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.48415947	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.31740952	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-17.15065575	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.98390388	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.81715012	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.65039825	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.48364639	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.31689262	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-16.15013885	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.98338795	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.81663418	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.64988327	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.4831295	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.31637764	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-15.14962578	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.98287392	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.81612015	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.64936733	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.48261547	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.31586361	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-14.14910984	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.98235703	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.81560612	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.64885044	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.48209953	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.31534672	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-13.14859581	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.98184204	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.81508923	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.64833832	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.4815855	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.31483173	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-12.14807987	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.98132801	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.81457424	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.64782143	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.48106861	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.3143177	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-11.14756393	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.98081112	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.81406021	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.6473074	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.48055363	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.31380177	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-10.1470499	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.98029709	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.81354332	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.64679146	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.4800396	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.31328773	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-9.14653397	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.9797821	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.81302929	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.64627552	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.47952366	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.3127718	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-8.14601898	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.97926617	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.81251287	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.64576197	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.47900867	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.31225538	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-7.14550447	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.97875166	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.812	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.64524555	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.47849417	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.31174135	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-6.14499044	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-5.97823524	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-5.81148386	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-5.64473057	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-5.47797775	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
