Inline	Crossline	Time(ms)	Density(kg/m3)	Sonic(us/m)	Gamma_Ray(API)	Porosity(fraction)	P_Impedance(Kg/m2s)	P_Impedance_rel(Kg/m2s)	Vp(Meter/second)
442	1007	236.01475525	2110.31005859	1e30	21.25	0.3373	4306750	-4475.52246094	1e30
442	1007	236.17437744	2110.4	1e30	21.3163147	0.3373	4307030	-4494.20361328	1e30
442	1007	236.33396912	2110.4	1e30	21.87649918	0.3373	4307140	-4512.87011719	1e30
442	1007	236.49357605	2110.4	1e30	22.52449989	0.3372	4307250	-4531.54980469	1e30
442	1007	236.65316772	2110.40991211	1e30	22.52449989	0.3372	4307370	-4550.22021484	1e30
442	1007	236.81280518	2110.5	1e30	22.52026939	0.3372	4307670	-4568.90283203	1e30
442	1007	236.97239685	2110.5	1e30	22.37754822	0.3372	4307780	-4631.57421875	1e30
442	1007	237.13200378	2110.5	1e30	20.65	0.3372	4307890	-4701.29980469	1e30
442	1007	237.29159546	2110.5	1e30	20.65	0.3372	4308000	-4771.02978516	1e30
442	1007	237.45120239	2110.5	1e30	20.65	0.3372	4308100	-4840.75	1e30
442	1007	237.61082458	2110.6	1e30	21.24537849	0.3371	4308420	-4910.49414063	1e30
442	1007	237.77041626	2110.6	1e30	22.12840652	0.3371	4308520	-4980.22949219	1e30
442	1007	237.93	2110.6	1e30	22.15	0.3371	4308630	-5075.41015625	1e30
442	1007	238.08961487	2110.6	1e30	22.15	0.3371	4308740	-5186.6	1e30
442	1007	238.24920654	2110.68994141	1e30	21.8715992	0.3371	4309040	-5297.79980469	1e30
442	1007	238.40884399	2110.70019531	1e30	21.85	0.3371	4309160	-5409.02246094	1e30
442	1007	238.56843567	2110.7	1e30	21.8501606	0.3371	4309270	-5520.22314453	1e30
442	1007	238.7280426	2110.7	1e30	22.64209938	0.337	4309380	-5631.41992188	1e30
442	1007	238.88763428	2110.7	1e30	22.75	0.337	4309490	-5751.20996094	1e30
442	1007	239.04724121	2110.7800293	1e30	22.75	0.337	4309770	-5885.87011719	1e30
442	1007	239.20687866	2110.8	1e30	22.00112152	0.337	4309910	-6020.55761719	1e30
442	1007	239.36647034	2110.8	1e30	21.11561775	0.337	4310020	-6155.21728516	1e30
442	1007	239.52606201	2110.8	1e30	20.7099	0.337	4310120	-6289.87988281	1e30
442	1007	239.68566895	2110.87988281	1e30	20.65	0.337	4310390	-6424.54980469	1e30
442	1007	239.84526062	2110.9	1e30	20.65	0.337	4310540	-6559.16992188	1e30
442	1007	240.00489807	2110.9	1e30	21.10140991	0.3369	4310650	-6693.55712891	1e30
442	1007	240.16448975	2110.9	1e30	22.13330841	0.3369	4310760	-6827.90722656	1e30
442	1007	240.32409668	2110.9	1e30	22.666	0.3369	4310870	-6962.25976563	1e30
442	1007	240.48368835	2110.9699707	1e30	23.38380051	0.3369	4311120	-7096.62011719	1e30
442	1007	240.64329529	2111	1e30	26.74640083	0.3369	4311290	-7230.97998047	1e30
442	1007	240.80293274	2111	1e30	28.15	0.3369	4311400	-7365.35253906	1e30
442	1007	240.96252441	2111	1e30	28.14980507	0.3369	4311510	-7476.82177734	1e30
442	1007	241.12211609	2111.06005859	1e30	27.18989944	0.3368	4311740	-7584.87011719	1e30
442	1007	241.28172302	2111.1	1e30	25.56450081	0.3368	4311930	-7692.91992188	1e30
442	1007	241.4413147	2111.1	1e30	24.3265	0.3368	4312030	-7800.97021484	1e30
442	1007	241.60095215	2111.1	1e30	23.76350975	0.3368	4312140	-7909.03125	1e30
442	1007	241.76054382	2111.1	1e30	23.32249069	0.3368	4312250	-8017.07568359	1e30
442	1007	241.92015076	2111.15991211	1e30	22.78890038	0.3368	4312480	-8093.70996094	1e30
442	1007	242.07974243	2111.2	1e30	22.5503006	0.3368	4312670	-8151.24023438	1e30
442	1007	242.23933411	2111.2	1e30	22.5503006	0.3367	4312780	-8208.78027344	1e30
442	1007	242.39897156	2111.2	1e30	22.65254974	0.3367	4312890	-8266.33203125	1e30
442	1007	242.55856323	2111.25	1e30	22.89898682	0.3367	4313100	-8323.87109375	1e30
442	1007	242.71815491	2111.3	1e30	23.33810043	0.3367	4313310	-8381.41015625	1e30
442	1007	242.87776184	2111.3	1e30	24.34609985	0.3367	4313420	-8413.11035156	1e30
442	1007	243.03735352	2111.3	1e30	25.28440094	0.3367	4313530	-8401.54980469	1e30
442	1007	243.19699097	2111.29980469	1e30	25.57965851	0.3367	4313640	-8389.99804688	1e30
442	1007	243.3565979	2111.34008789	1e30	25.87490845	0.3367	4313830	-8378.43847656	1e30
442	1007	243.51618958	2111.4	1e30	26.41	0.3366	4314060	-8366.87988281	1e30
442	1007	243.67578125	2111.4	1e30	26.95	0.3366	4314170	-8355.33007813	1e30
442	1007	243.83538818	2111.4	1e30	26.95	0.3366	4314270	-8333.79980469	1e30
442	1007	243.99502563	2111.4	1e30	26.84425926	0.3366	4314380	-8243.22167969	1e30
442	1007	244.15461731	2111.42993164	1e30	26.14556122	0.3366	4314560	-8152.66210938	1e30
442	1007	244.31420898	2111.5	1e30	24.97820091	0.3366	4314800	-8062.1	1e30
442	1007	244.47381592	2111.5	1e30	24.61319923	0.3366	4314910	-7971.54003906	1e30
442	1007	244.63340759	2111.5	1e30	24.61319923	0.3366	4315020	-7880.97998047	1e30
442	1007	244.79304504	2111.53027344	1e30	24.75941086	0.3365	4315180	-7790.38769531	1e30
442	1007	244.95265198	2111.6	1e30	25.3038044	0.3365	4315440	-7630.9453125	1e30
442	1007	245.11224365	2111.6	1e30	25.822	0.3365	4315550	-7461.93994141	1e30
442	1007	245.27183533	2111.6	1e30	26.05	0.3365	4315660	-7292.93017578	1e30
442	1007	245.43144226	2111.6	1e30	26.05	0.3365	4315770	-7123.91992188	1e30
442	1007	245.59107971	2111.62011719	1e30	26.05	0.3365	4315920	-6954.88525391	1e30
442	1007	245.75067139	2111.7	1e30	26.05	0.3365	4316190	-6785.8671875	1e30
442	1007	245.91026306	2111.7	1e30	26.05	0.3364	4316300	-6574.52001953	1e30
442	1007	246.06987	2111.7	1e30	26.05	0.3364	4316400	-6338.33984375	1e30
442	1007	246.22946167	2111.70996094	1e30	26.05	0.3364	4316540	-6102.16992188	1e30
442	1007	246.38908386	2111.8	1e30	26.01634598	0.3364	4316830	-5865.94238281	1e30
442	1007	246.5486908	2111.8	1e30	25.75	0.3364	4316940	-5629.76220703	1e30
442	1007	246.70828247	2111.8	1e30	25.75	0.3364	4317050	-5393.58984375	1e30
442	1007	246.86787415	2111.8	1e30	25.76880074	0.3364	4317150	-5139.6	1e30
442	1007	247.02748108	2111.8	1e30	26.043	0.3363	4317270	-4856.85009766	1e30
442	1007	247.18711853	2111.9	1e30	26.04299736	0.3363	4317580	-4574.05273438	1e30
442	1007	247.34671021	2111.9	1e30	26.03338242	0.3363	4317680	-4291.30224609	1e30
442	1007	247.50631714	2111.9	1e30	25.45	0.3363	4317790	-4008.56005859	1e30
442	1007	247.66590881	2111.9	1e30	25.45	0.3363	4317900	-3725.81005859	1e30
442	1007	247.82550049	2112	1e30	25.45	0.3363	4318210	-3440.43994141	1e30
442	1007	247.98513794	2112	1e30	26.03086281	0.3363	4318320	-3138.10839844	1e30
442	1007	248.14474487	2112	1e30	26.3357029	0.3363	4318430	-2835.83837891	1e30
442	1007	248.30433655	2112	1e30	26.35	0.3362	4318540	-2533.57006836	1e30
442	1007	248.46392822	2112	1e30	26.35	0.3362	4318650	-2231.3	1e30
442	1007	248.62353516	2112.09008789	1e30	26.35	0.3362	4318940	-1929.02001953	1e30
