Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
244	387	-20.93869781	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.8290329	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.71936798	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.60970306	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.5	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.39037323	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.28070831	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.1710434	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-20.06137657	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.95171356	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.84204865	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.73238373	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.62271881	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.51305389	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.40338898	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.29372406	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.18405914	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-19.07439423	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.9647274	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.85506248	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.74539757	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.63573265	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.52606773	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.41640472	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.30673981	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.19707489	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-18.08740997	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.97774506	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.86808014	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.75841331	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.6487484	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.53908348	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.42941856	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.31975365	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.21008873	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-17.10042381	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-16.9907589	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-16.88109398	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-16.77142906	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-16.66176224	1e30	1e30	1e30	1e30	1e30	1e30	1e30
244	387	-16.55209923	1e30	1e30	1e30	1e30	1e30	1e30	1e30
