Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
722	848	-27.33501625	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.16934776	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.00368118	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.83801651	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.67234802	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.50668335	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.34101486	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.17534828	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-26.00967979	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.84401321	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.67834854	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.51268196	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.34701538	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.18134689	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-25.01568031	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.85001373	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.68434715	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.51868057	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.35301399	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.18734741	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-24.02168083	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.85601425	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.69034576	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.52467918	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.3590126	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.19334602	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-23.02767944	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.86201286	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.69634628	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.5306778	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.36501312	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.19934654	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-22.03367805	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.86801338	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.70234489	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.53668022	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.37101173	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.20534515	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-21.03967857	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.87401009	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.70834541	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.54267883	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.37701225	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.21134377	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-20.04567719	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.88001251	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.71434402	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.54867744	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.38301086	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.21734428	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-19.0516758	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.88601112	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.72034454	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.55467606	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.38900948	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.2233429	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-18.05767822	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.89200974	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.72634315	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.56067657	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.39500809	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.22934341	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-17.06367493	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.89801025	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.73234177	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.56667519	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.40101051	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.23534203	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-16.06967545	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.90400791	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.73834229	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.5726757	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.40700722	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.24134159	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-15.07567406	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-14.91	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-14.7443409	1e30	1e30	1e30	1e30	1e30	1e30	1e30
