Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	-29.90457726	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-29.74494362	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-29.58531189	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-29.42567825	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-29.26604462	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-29.10641289	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.94677925	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.78714561	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.62751389	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.46788025	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.30824661	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-28.14861298	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.98898125	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.82934952	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.66971397	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.51008224	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.35045052	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.19081497	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-27.03118324	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.87155151	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.71191788	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.55228424	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.39265251	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.23301888	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-26.07338524	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.91375351	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.75411797	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.59448624	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.4348526	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.27522087	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-25.11558914	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.9559536	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.79632187	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.63669014	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.4770546	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.31742287	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-24.15778923	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.99815559	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.83852386	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.67889214	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.5192585	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.35962486	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.2	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-23.04035759	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-22.88072586	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-22.72109222	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-22.56145859	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-22.40182686	1e30	1e30	1e30	1e30	1e30	1e30	1e30
